0.004010139 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=39629 TCP_ACK=247443 reassemble
0.003992506 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=41077 TCP_ACK=247443 reassemble
0.003996321 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=42525 TCP_ACK=247443 reassemble
0.003983619 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=43973 TCP_ACK=247443 reassemble
0.003982560 1209 PCP=4 (R=0 F=1 LCID=000100 L=1206) TCP_SEQ=45421 TCP_ACK=247443 opcua
0.000023371 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=250339 ack
0.000047527 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=253235 ack
0.000034293 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=256131 ack
0.000012907 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=259027 ack
0.000014637 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=261923 ack
0.000036479 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=264819 ack
0.000021430 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=267715 ack
0.000041761 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=270611 ack
0.000045546 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=273507 ack
0.000036058 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=276403 ack
0.000051337 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=279299 ack
0.000039861 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=282195 ack
0.000048204 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=285091 ack
0.000030218 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=287987 ack
0.000034344 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=46553 TCP_ACK=290883 ack
0.004500936 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=46553 TCP_ACK=290927 reassemble
0.004479459 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=48001 TCP_ACK=290927 reassemble
